plate_barcode,well_position,culture_id,timestamp,absorbance,absorbance_wavelength,absorbance_bandwidth,absorbance_number_of_reads,cell_concentration,dataset_id
ScaleMeMaybe,F2,CLTR1WTU2IFYBJG2EN6SRARYK43EYTY,2025-10-26T16:50:53.668849+00:00,0.5781000000,600,9,25,578100000,PLTDTST1WMKOW72PMIOR4MUEMWFNLGJYFY
ScaleMeMaybe,F3,CLTR1SDDJWGBGGSV4BJJPRIDBEQU4QM,2025-10-26T16:50:53.668849+00:00,0.5637000000,600,9,25,563700000,PLTDTST1WMKOW72PMIOR4MUEMWFNLGJYFY
ScaleMeMaybe,H1,CLTR1HIWOSHNJHUYNEJB7HNPYOXVBDQ,2025-10-26T16:50:53.668849+00:00,0.0999000000,600,9,25,99900000,PLTDTST1WMKOW72PMIOR4MUEMWFNLGJYFY
ScaleMeMaybe,A1,CLTR1SZVK3DJFLAF4YZIX25HFB2266M,2025-10-26T10:40:00.535611+00:00,0.7541000000,600,9,25,754100000,PLTDTST1TXZ2MR76UIZY4Q3MQTZZQFUGOA
ScaleMeMaybe,A2,CLTR15WZPQXTAXQG6QF4RWUXNNNL4P4,2025-10-26T10:40:00.535611+00:00,0.5436000000,600,9,25,543600000,PLTDTST1TXZ2MR76UIZY4Q3MQTZZQFUGOA
ScaleMeMaybe,A3,CLTR1VVQXZCPQNK5WLSWQUYB65RL4DU,2025-10-26T10:40:00.535611+00:00,0.3852000000,600,9,25,385200000,PLTDTST1TXZ2MR76UIZY4Q3MQTZZQFUGOA
ScaleMeMaybe,B1,CLTR1UTU5YFKLI32VTFQGX6KHQOTJEE,2025-10-26T10:40:00.535611+00:00,0.6663000000,600,9,25,666300000,PLTDTST1TXZ2MR76UIZY4Q3MQTZZQFUGOA
ScaleMeMaybe,B2,CLTR1S3NHC4FDM3XNCQAPO7HAEFJO64,2025-10-26T10:40:00.535611+00:00,0.5909000000,600,9,25,590900000,PLTDTST1TXZ2MR76UIZY4Q3MQTZZQFUGOA
ScaleMeMaybe,B3,CLTR1YDFSSGJBRJLAAUAM4QSXQ7IFQQ,2025-10-26T10:40:00.535611+00:00,0.3827000000,600,9,25,382700000,PLTDTST1TXZ2MR76UIZY4Q3MQTZZQFUGOA
ScaleMeMaybe,C1,CLTR1BRJIK646KBQSEM63JR4PGHTXAE,2025-10-26T10:40:00.535611+00:00,0.6632000000,600,9,25,663200000,PLTDTST1TXZ2MR76UIZY4Q3MQTZZQFUGOA
ScaleMeMaybe,C2,CLTR173UBJYU4KEMWXOCSARBTVAEE3I,2025-10-26T10:40:00.535611+00:00,0.4609000000,600,9,25,460900000,PLTDTST1TXZ2MR76UIZY4Q3MQTZZQFUGOA
ScaleMeMaybe,C3,CLTR1T67Q6IFCFZWHZBKCE46APZBPX4,2025-10-26T10:40:00.535611+00:00,0.4031000000,600,9,25,403100000,PLTDTST1TXZ2MR76UIZY4Q3MQTZZQFUGOA
ScaleMeMaybe,D2,CLTR1ZSIGHVSYDPRSLWNJR62IO7DVTE,2025-10-26T10:40:00.535611+00:00,0.4683000000,600,9,25,468300000,PLTDTST1TXZ2MR76UIZY4Q3MQTZZQFUGOA
ScaleMeMaybe,D3,CLTR1YK3P7WOCXUTLH6LAOY7FNQHC2A,2025-10-26T10:40:00.535611+00:00,0.4134000000,600,9,25,413400000,PLTDTST1TXZ2MR76UIZY4Q3MQTZZQFUGOA
ScaleMeMaybe,E2,CLTR12FIXOZZ7PQTH2ISR2EN5J3IH6M,2025-10-26T10:40:00.535611+00:00,0.4576000000,600,9,25,457600000,PLTDTST1TXZ2MR76UIZY4Q3MQTZZQFUGOA
ScaleMeMaybe,E3,CLTR1SZ7USHKVTLETEQ5546O3NLTW4Y,2025-10-26T10:40:00.535611+00:00,0.3981000000,600,9,25,398100000,PLTDTST1TXZ2MR76UIZY4Q3MQTZZQFUGOA
ScaleMeMaybe,F2,CLTR1WTU2IFYBJG2EN6SRARYK43EYTY,2025-10-26T10:40:00.535611+00:00,0.4385000000,600,9,25,438500000,PLTDTST1TXZ2MR76UIZY4Q3MQTZZQFUGOA
ScaleMeMaybe,F3,CLTR1SDDJWGBGGSV4BJJPRIDBEQU4QM,2025-10-26T10:40:00.535611+00:00,0.4034000000,600,9,25,403400000,PLTDTST1TXZ2MR76UIZY4Q3MQTZZQFUGOA
ScaleMeMaybe,H1,CLTR1HIWOSHNJHUYNEJB7HNPYOXVBDQ,2025-10-26T10:40:00.535611+00:00,0.1094000000,600,9,25,109400000,PLTDTST1TXZ2MR76UIZY4Q3MQTZZQFUGOA
ScaleMeMaybe,A1,CLTR1SZVK3DJFLAF4YZIX25HFB2266M,2025-10-26T10:17:45.723109+00:00,0.7595000000,600,9,25,759500000,PLTDTST15IWJSSQOHQJL72ULIARAVUO3RE
ScaleMeMaybe,A2,CLTR15WZPQXTAXQG6QF4RWUXNNNL4P4,2025-10-26T10:17:45.723109+00:00,0.5290000000,600,9,25,529000000,PLTDTST15IWJSSQOHQJL72ULIARAVUO3RE
ScaleMeMaybe,A3,CLTR1VVQXZCPQNK5WLSWQUYB65RL4DU,2025-10-26T10:17:45.723109+00:00,0.3853000000,600,9,25,385300000,PLTDTST15IWJSSQOHQJL72ULIARAVUO3RE
ScaleMeMaybe,B1,CLTR1UTU5YFKLI32VTFQGX6KHQOTJEE,2025-10-26T10:17:45.723109+00:00,0.6691000000,600,9,25,669100000,PLTDTST15IWJSSQOHQJL72ULIARAVUO3RE
ScaleMeMaybe,B2,CLTR1S3NHC4FDM3XNCQAPO7HAEFJO64,2025-10-26T10:17:45.723109+00:00,0.5719000000,600,9,25,571900000,PLTDTST15IWJSSQOHQJL72ULIARAVUO3RE
ScaleMeMaybe,B3,CLTR1YDFSSGJBRJLAAUAM4QSXQ7IFQQ,2025-10-26T10:17:45.723109+00:00,0.3797000000,600,9,25,379700000,PLTDTST15IWJSSQOHQJL72ULIARAVUO3RE
ScaleMeMaybe,C1,CLTR1BRJIK646KBQSEM63JR4PGHTXAE,2025-10-26T10:17:45.723109+00:00,0.6649000000,600,9,25,664900000,PLTDTST15IWJSSQOHQJL72ULIARAVUO3RE
ScaleMeMaybe,C2,CLTR173UBJYU4KEMWXOCSARBTVAEE3I,2025-10-26T10:17:45.723109+00:00,0.4632000000,600,9,25,463200000,PLTDTST15IWJSSQOHQJL72ULIARAVUO3RE
ScaleMeMaybe,C3,CLTR1T67Q6IFCFZWHZBKCE46APZBPX4,2025-10-26T10:17:45.723109+00:00,0.3966000000,600,9,25,396600000,PLTDTST15IWJSSQOHQJL72ULIARAVUO3RE
ScaleMeMaybe,D2,CLTR1ZSIGHVSYDPRSLWNJR62IO7DVTE,2025-10-26T10:17:45.723109+00:00,0.4739000000,600,9,25,473900000,PLTDTST15IWJSSQOHQJL72ULIARAVUO3RE
ScaleMeMaybe,D3,CLTR1YK3P7WOCXUTLH6LAOY7FNQHC2A,2025-10-26T10:17:45.723109+00:00,0.4016000000,600,9,25,401600000,PLTDTST15IWJSSQOHQJL72ULIARAVUO3RE
ScaleMeMaybe,E2,CLTR12FIXOZZ7PQTH2ISR2EN5J3IH6M,2025-10-26T10:17:45.723109+00:00,0.4514000000,600,9,25,451400000,PLTDTST15IWJSSQOHQJL72ULIARAVUO3RE
ScaleMeMaybe,E3,CLTR1SZ7USHKVTLETEQ5546O3NLTW4Y,2025-10-26T10:17:45.723109+00:00,0.3880000000,600,9,25,388000000,PLTDTST15IWJSSQOHQJL72ULIARAVUO3RE
ScaleMeMaybe,F2,CLTR1WTU2IFYBJG2EN6SRARYK43EYTY,2025-10-26T10:17:45.723109+00:00,0.4287000000,600,9,25,428700000,PLTDTST15IWJSSQOHQJL72ULIARAVUO3RE
ScaleMeMaybe,F3,CLTR1SDDJWGBGGSV4BJJPRIDBEQU4QM,2025-10-26T10:17:45.723109+00:00,0.3922000000,600,9,25,392200000,PLTDTST15IWJSSQOHQJL72ULIARAVUO3RE
ScaleMeMaybe,H1,CLTR1HIWOSHNJHUYNEJB7HNPYOXVBDQ,2025-10-26T10:17:45.723109+00:00,0.1020000000,600,9,25,102000000,PLTDTST15IWJSSQOHQJL72ULIARAVUO3RE
ScaleMeMaybe,A1,CLTR1SZVK3DJFLAF4YZIX25HFB2266M,2025-10-26T10:12:00.403895+00:00,0.7440000000,600,9,25,744000000,PLTDTST1CI665YJA6JTY4NRLZPEORRWA6U
ScaleMeMaybe,A2,CLTR15WZPQXTAXQG6QF4RWUXNNNL4P4,2025-10-26T10:12:00.403895+00:00,0.5094000000,600,9,25,509400000,PLTDTST1CI665YJA6JTY4NRLZPEORRWA6U
ScaleMeMaybe,A3,CLTR1VVQXZCPQNK5WLSWQUYB65RL4DU,2025-10-26T10:12:00.403895+00:00,0.3774000000,600,9,25,377400000,PLTDTST1CI665YJA6JTY4NRLZPEORRWA6U
ScaleMeMaybe,B1,CLTR1UTU5YFKLI32VTFQGX6KHQOTJEE,2025-10-26T10:12:00.403895+00:00,0.6591000000,600,9,25,659100000,PLTDTST1CI665YJA6JTY4NRLZPEORRWA6U
ScaleMeMaybe,B2,CLTR1S3NHC4FDM3XNCQAPO7HAEFJO64,2025-10-26T10:12:00.403895+00:00,0.5534000000,600,9,25,553400000,PLTDTST1CI665YJA6JTY4NRLZPEORRWA6U
ScaleMeMaybe,B3,CLTR1YDFSSGJBRJLAAUAM4QSXQ7IFQQ,2025-10-26T10:12:00.403895+00:00,0.3768000000,600,9,25,376800000,PLTDTST1CI665YJA6JTY4NRLZPEORRWA6U
ScaleMeMaybe,C1,CLTR1BRJIK646KBQSEM63JR4PGHTXAE,2025-10-26T10:12:00.403895+00:00,0.6614000000,600,9,25,661400000,PLTDTST1CI665YJA6JTY4NRLZPEORRWA6U
ScaleMeMaybe,C2,CLTR173UBJYU4KEMWXOCSARBTVAEE3I,2025-10-26T10:12:00.403895+00:00,0.4564000000,600,9,25,456400000,PLTDTST1CI665YJA6JTY4NRLZPEORRWA6U
ScaleMeMaybe,C3,CLTR1T67Q6IFCFZWHZBKCE46APZBPX4,2025-10-26T10:12:00.403895+00:00,0.3902000000,600,9,25,390200000,PLTDTST1CI665YJA6JTY4NRLZPEORRWA6U
ScaleMeMaybe,D2,CLTR1ZSIGHVSYDPRSLWNJR62IO7DVTE,2025-10-26T10:12:00.403895+00:00,0.4615000000,600,9,25,461500000,PLTDTST1CI665YJA6JTY4NRLZPEORRWA6U
ScaleMeMaybe,D3,CLTR1YK3P7WOCXUTLH6LAOY7FNQHC2A,2025-10-26T10:12:00.403895+00:00,0.3980000000,600,9,25,398000000,PLTDTST1CI665YJA6JTY4NRLZPEORRWA6U
ScaleMeMaybe,E2,CLTR12FIXOZZ7PQTH2ISR2EN5J3IH6M,2025-10-26T10:12:00.403895+00:00,0.4441000000,600,9,25,444100000,PLTDTST1CI665YJA6JTY4NRLZPEORRWA6U
ScaleMeMaybe,E3,CLTR1SZ7USHKVTLETEQ5546O3NLTW4Y,2025-10-26T10:12:00.403895+00:00,0.3823000000,600,9,25,382300000,PLTDTST1CI665YJA6JTY4NRLZPEORRWA6U
ScaleMeMaybe,F2,CLTR1WTU2IFYBJG2EN6SRARYK43EYTY,2025-10-26T10:12:00.403895+00:00,0.4276000000,600,9,25,427600000,PLTDTST1CI665YJA6JTY4NRLZPEORRWA6U
ScaleMeMaybe,F3,CLTR1SDDJWGBGGSV4BJJPRIDBEQU4QM,2025-10-26T10:12:00.403895+00:00,0.3898000000,600,9,25,389800000,PLTDTST1CI665YJA6JTY4NRLZPEORRWA6U
ScaleMeMaybe,H1,CLTR1HIWOSHNJHUYNEJB7HNPYOXVBDQ,2025-10-26T10:12:00.403895+00:00,0.1077000000,600,9,25,107700000,PLTDTST1CI665YJA6JTY4NRLZPEORRWA6U
ScaleMeMaybe,A1,CLTR1SZVK3DJFLAF4YZIX25HFB2266M,2025-10-26T09:27:00.239843+00:00,0.7249000000,600,9,25,724900000,PLTDTST17UUQ7YLMZ7MPC6YLRW5PI432XY
ScaleMeMaybe,A2,CLTR15WZPQXTAXQG6QF4RWUXNNNL4P4,2025-10-26T09:27:00.239843+00:00,0.4631000000,600,9,25,463100000,PLTDTST17UUQ7YLMZ7MPC6YLRW5PI432XY
ScaleMeMaybe,A3,CLTR1VVQXZCPQNK5WLSWQUYB65RL4DU,2025-10-26T09:27:00.239843+00:00,0.3588000000,600,9,25,358800000,PLTDTST17UUQ7YLMZ7MPC6YLRW5PI432XY
ScaleMeMaybe,B1,CLTR1UTU5YFKLI32VTFQGX6KHQOTJEE,2025-10-26T09:27:00.239843+00:00,0.6285000000,600,9,25,628500000,PLTDTST17UUQ7YLMZ7MPC6YLRW5PI432XY
ScaleMeMaybe,B2,CLTR1S3NHC4FDM3XNCQAPO7HAEFJO64,2025-10-26T09:27:00.239843+00:00,0.5003000000,600,9,25,500300000,PLTDTST17UUQ7YLMZ7MPC6YLRW5PI432XY
ScaleMeMaybe,B3,CLTR1YDFSSGJBRJLAAUAM4QSXQ7IFQQ,2025-10-26T09:27:00.239843+00:00,0.3537000000,600,9,25,353700000,PLTDTST17UUQ7YLMZ7MPC6YLRW5PI432XY
ScaleMeMaybe,C1,CLTR1BRJIK646KBQSEM63JR4PGHTXAE,2025-10-26T09:27:00.239843+00:00,0.6228000000,600,9,25,622800000,PLTDTST17UUQ7YLMZ7MPC6YLRW5PI432XY
ScaleMeMaybe,C2,CLTR173UBJYU4KEMWXOCSARBTVAEE3I,2025-10-26T09:27:00.239843+00:00,0.4302000000,600,9,25,430200000,PLTDTST17UUQ7YLMZ7MPC6YLRW5PI432XY
ScaleMeMaybe,C3,CLTR1T67Q6IFCFZWHZBKCE46APZBPX4,2025-10-26T09:27:00.239843+00:00,0.3753000000,600,9,25,375300000,PLTDTST17UUQ7YLMZ7MPC6YLRW5PI432XY
ScaleMeMaybe,D2,CLTR1ZSIGHVSYDPRSLWNJR62IO7DVTE,2025-10-26T09:27:00.239843+00:00,0.4322000000,600,9,25,432200000,PLTDTST17UUQ7YLMZ7MPC6YLRW5PI432XY
ScaleMeMaybe,D3,CLTR1YK3P7WOCXUTLH6LAOY7FNQHC2A,2025-10-26T09:27:00.239843+00:00,0.3824000000,600,9,25,382400000,PLTDTST17UUQ7YLMZ7MPC6YLRW5PI432XY
ScaleMeMaybe,E2,CLTR12FIXOZZ7PQTH2ISR2EN5J3IH6M,2025-10-26T09:27:00.239843+00:00,0.4187000000,600,9,25,418700000,PLTDTST17UUQ7YLMZ7MPC6YLRW5PI432XY
ScaleMeMaybe,E3,CLTR1SZ7USHKVTLETEQ5546O3NLTW4Y,2025-10-26T09:27:00.239843+00:00,0.3731000000,600,9,25,373100000,PLTDTST17UUQ7YLMZ7MPC6YLRW5PI432XY
ScaleMeMaybe,F2,CLTR1WTU2IFYBJG2EN6SRARYK43EYTY,2025-10-26T09:27:00.239843+00:00,0.4075000000,600,9,25,407500000,PLTDTST17UUQ7YLMZ7MPC6YLRW5PI432XY
ScaleMeMaybe,F3,CLTR1SDDJWGBGGSV4BJJPRIDBEQU4QM,2025-10-26T09:27:00.239843+00:00,0.3763000000,600,9,25,376300000,PLTDTST17UUQ7YLMZ7MPC6YLRW5PI432XY
ScaleMeMaybe,H1,CLTR1HIWOSHNJHUYNEJB7HNPYOXVBDQ,2025-10-26T09:27:00.239843+00:00,0.1017000000,600,9,25,101700000,PLTDTST17UUQ7YLMZ7MPC6YLRW5PI432XY
ScaleMeMaybe,A1,CLTR1SZVK3DJFLAF4YZIX25HFB2266M,2025-10-26T09:07:58.289154+00:00,0.7135000000,600,9,25,713500000,PLTDTST1JOJLOBX37BWFRU5LSWBKDKVH7U
ScaleMeMaybe,A2,CLTR15WZPQXTAXQG6QF4RWUXNNNL4P4,2025-10-26T09:07:58.289154+00:00,0.4401000000,600,9,25,440100000,PLTDTST1JOJLOBX37BWFRU5LSWBKDKVH7U
ScaleMeMaybe,A3,CLTR1VVQXZCPQNK5WLSWQUYB65RL4DU,2025-10-26T09:07:58.289154+00:00,0.3487000000,600,9,25,348700000,PLTDTST1JOJLOBX37BWFRU5LSWBKDKVH7U
ScaleMeMaybe,B1,CLTR1UTU5YFKLI32VTFQGX6KHQOTJEE,2025-10-26T09:07:58.289154+00:00,0.6188000000,600,9,25,618800000,PLTDTST1JOJLOBX37BWFRU5LSWBKDKVH7U
ScaleMeMaybe,B2,CLTR1S3NHC4FDM3XNCQAPO7HAEFJO64,2025-10-26T09:07:58.289154+00:00,0.4746000000,600,9,25,474600000,PLTDTST1JOJLOBX37BWFRU5LSWBKDKVH7U
ScaleMeMaybe,B3,CLTR1YDFSSGJBRJLAAUAM4QSXQ7IFQQ,2025-10-26T09:07:58.289154+00:00,0.3460000000,600,9,25,346000000,PLTDTST1JOJLOBX37BWFRU5LSWBKDKVH7U
ScaleMeMaybe,C1,CLTR1BRJIK646KBQSEM63JR4PGHTXAE,2025-10-26T09:07:58.289154+00:00,0.6125000000,600,9,25,612500000,PLTDTST1JOJLOBX37BWFRU5LSWBKDKVH7U
ScaleMeMaybe,C2,CLTR173UBJYU4KEMWXOCSARBTVAEE3I,2025-10-26T09:07:58.289154+00:00,0.4231000000,600,9,25,423100000,PLTDTST1JOJLOBX37BWFRU5LSWBKDKVH7U
ScaleMeMaybe,C3,CLTR1T67Q6IFCFZWHZBKCE46APZBPX4,2025-10-26T09:07:58.289154+00:00,0.3687000000,600,9,25,368700000,PLTDTST1JOJLOBX37BWFRU5LSWBKDKVH7U
ScaleMeMaybe,D2,CLTR1ZSIGHVSYDPRSLWNJR62IO7DVTE,2025-10-26T09:07:58.289154+00:00,0.4231000000,600,9,25,423100000,PLTDTST1JOJLOBX37BWFRU5LSWBKDKVH7U
ScaleMeMaybe,D3,CLTR1YK3P7WOCXUTLH6LAOY7FNQHC2A,2025-10-26T09:07:58.289154+00:00,0.3751000000,600,9,25,375100000,PLTDTST1JOJLOBX37BWFRU5LSWBKDKVH7U
ScaleMeMaybe,E2,CLTR12FIXOZZ7PQTH2ISR2EN5J3IH6M,2025-10-26T09:07:58.289154+00:00,0.4131000000,600,9,25,413100000,PLTDTST1JOJLOBX37BWFRU5LSWBKDKVH7U
ScaleMeMaybe,E3,CLTR1SZ7USHKVTLETEQ5546O3NLTW4Y,2025-10-26T09:07:58.289154+00:00,0.3676000000,600,9,25,367600000,PLTDTST1JOJLOBX37BWFRU5LSWBKDKVH7U
ScaleMeMaybe,F2,CLTR1WTU2IFYBJG2EN6SRARYK43EYTY,2025-10-26T09:07:58.289154+00:00,0.4016000000,600,9,25,401600000,PLTDTST1JOJLOBX37BWFRU5LSWBKDKVH7U
ScaleMeMaybe,F3,CLTR1SDDJWGBGGSV4BJJPRIDBEQU4QM,2025-10-26T09:07:58.289154+00:00,0.3671000000,600,9,25,367100000,PLTDTST1JOJLOBX37BWFRU5LSWBKDKVH7U
ScaleMeMaybe,H1,CLTR1HIWOSHNJHUYNEJB7HNPYOXVBDQ,2025-10-26T09:07:58.289154+00:00,0.1017000000,600,9,25,101700000,PLTDTST1JOJLOBX37BWFRU5LSWBKDKVH7U
ScaleMeMaybe,A1,CLTR1SZVK3DJFLAF4YZIX25HFB2266M,2025-10-26T08:50:03.160616+00:00,0.7440000000,600,9,25,744000000,PLTDTST1ETQC7OWDX7BE7XGTL3Q2GB3EMM
ScaleMeMaybe,A2,CLTR15WZPQXTAXQG6QF4RWUXNNNL4P4,2025-10-26T08:50:03.160616+00:00,0.4401000000,600,9,25,440100000,PLTDTST1ETQC7OWDX7BE7XGTL3Q2GB3EMM
ScaleMeMaybe,A3,CLTR1VVQXZCPQNK5WLSWQUYB65RL4DU,2025-10-26T08:50:03.160616+00:00,0.3487000000,600,9,25,348700000,PLTDTST1ETQC7OWDX7BE7XGTL3Q2GB3EMM
ScaleMeMaybe,B1,CLTR1UTU5YFKLI32VTFQGX6KHQOTJEE,2025-10-26T08:50:03.160616+00:00,0.6188000000,600,9,25,618800000,PLTDTST1ETQC7OWDX7BE7XGTL3Q2GB3EMM
ScaleMeMaybe,B2,CLTR1S3NHC4FDM3XNCQAPO7HAEFJO64,2025-10-26T08:50:03.160616+00:00,0.4746000000,600,9,25,474600000,PLTDTST1ETQC7OWDX7BE7XGTL3Q2GB3EMM
ScaleMeMaybe,B3,CLTR1YDFSSGJBRJLAAUAM4QSXQ7IFQQ,2025-10-26T08:50:03.160616+00:00,0.3460000000,600,9,25,346000000,PLTDTST1ETQC7OWDX7BE7XGTL3Q2GB3EMM
ScaleMeMaybe,C1,CLTR1BRJIK646KBQSEM63JR4PGHTXAE,2025-10-26T08:50:03.160616+00:00,0.6125000000,600,9,25,612500000,PLTDTST1ETQC7OWDX7BE7XGTL3Q2GB3EMM
ScaleMeMaybe,C2,CLTR173UBJYU4KEMWXOCSARBTVAEE3I,2025-10-26T08:50:03.160616+00:00,0.4231000000,600,9,25,423100000,PLTDTST1ETQC7OWDX7BE7XGTL3Q2GB3EMM
ScaleMeMaybe,C3,CLTR1T67Q6IFCFZWHZBKCE46APZBPX4,2025-10-26T08:50:03.160616+00:00,0.3687000000,600,9,25,368700000,PLTDTST1ETQC7OWDX7BE7XGTL3Q2GB3EMM
ScaleMeMaybe,D2,CLTR1ZSIGHVSYDPRSLWNJR62IO7DVTE,2025-10-26T08:50:03.160616+00:00,0.4231000000,600,9,25,423100000,PLTDTST1ETQC7OWDX7BE7XGTL3Q2GB3EMM
ScaleMeMaybe,D3,CLTR1YK3P7WOCXUTLH6LAOY7FNQHC2A,2025-10-26T08:50:03.160616+00:00,0.3751000000,600,9,25,375100000,PLTDTST1ETQC7OWDX7BE7XGTL3Q2GB3EMM
ScaleMeMaybe,E2,CLTR12FIXOZZ7PQTH2ISR2EN5J3IH6M,2025-10-26T08:50:03.160616+00:00,0.4131000000,600,9,25,413100000,PLTDTST1ETQC7OWDX7BE7XGTL3Q2GB3EMM
ScaleMeMaybe,E3,CLTR1SZ7USHKVTLETEQ5546O3NLTW4Y,2025-10-26T08:50:03.160616+00:00,0.3676000000,600,9,25,367600000,PLTDTST1ETQC7OWDX7BE7XGTL3Q2GB3EMM
ScaleMeMaybe,F2,CLTR1WTU2IFYBJG2EN6SRARYK43EYTY,2025-10-26T08:50:03.160616+00:00,0.4016000000,600,9,25,401600000,PLTDTST1ETQC7OWDX7BE7XGTL3Q2GB3EMM
ScaleMeMaybe,F3,CLTR1SDDJWGBGGSV4BJJPRIDBEQU4QM,2025-10-26T08:50:03.160616+00:00,0.3671000000,600,9,25,367100000,PLTDTST1ETQC7OWDX7BE7XGTL3Q2GB3EMM
ScaleMeMaybe,H1,CLTR1HIWOSHNJHUYNEJB7HNPYOXVBDQ,2025-10-26T08:50:03.160616+00:00,0.1017000000,600,9,25,101700000,PLTDTST1ETQC7OWDX7BE7XGTL3Q2GB3EMM
ScaleMeMaybe,B3,CLTR1YDFSSGJBRJLAAUAM4QSXQ7IFQQ,2025-10-26T08:50:03.160616+00:00,0.3522000000,600,9,25,352200000,PLTDTST1ETQC7OWDX7BE7XGTL3Q2GB3EMM
ScaleMeMaybe,C3,CLTR1T67Q6IFCFZWHZBKCE46APZBPX4,2025-10-26T08:50:03.160616+00:00,0.3669000000,600,9,25,366900000,PLTDTST1ETQC7OWDX7BE7XGTL3Q2GB3EMM
ScaleMeMaybe,F3,CLTR1SDDJWGBGGSV4BJJPRIDBEQU4QM,2025-10-26T08:50:03.160616+00:00,0.3665000000,600,9,25,366500000,PLTDTST1ETQC7OWDX7BE7XGTL3Q2GB3EMM
ScaleMeMaybe,H1,CLTR1HIWOSHNJHUYNEJB7HNPYOXVBDQ,2025-10-26T08:50:03.160616+00:00,0.1040000000,600,9,25,104000000,PLTDTST1ETQC7OWDX7BE7XGTL3Q2GB3EMM
